ID	ID_Consutoriamigo	APERTURA_DT	EDAD	GENERO	ESTRATO	ACTIVIDAD_ECONOMICA	ESTADO_CIVIL	RANGO EDAD	BASE	FECHA_ENCUESTA	Probabilidad_Recomendacion	Productos_Tibamoa	Frecuencia_uso_CA	Uso_ppal_CA	Principal_uso_Cred Consum	Principal_uso_TC_Tibapuntos	Identificacion_afirm_comunicacion	Identificacion_afirm_conocimiento	Identificacion_afirm_disp_compra	2_aspectos_mas_importantes_escoger_ entidad_financiera	Que_impotante_Satisfaccion_EF	Busqueda_info_producto	Solicitud_productos	Consulta_info_y_caracteristicas_prod	Transacciones (compras, pagos, abonos, etc.)	modo_Realizar_consulta_o_requerimiento	Radicar_queja_reclamo	Primer_canal_alternativo	Web B Tibamoa	App B Tibamoa	Banca en linea B Tibamoa	Chat WhatsApp B Tibamoa	Telefono B Tibamoa	Cajeros electronicos	Oficinas B Tibamoa	Correo electronico B Tibamoa	Disposicion_recibir_comunic_Tibamoa	Informacion de beneficios	Informacion de ofertas comerciales	Notificaciones de estados de tramites	Si Tibamoa excelente, estaria dispuesto a:	Si igual tiempo seguiria cliente	Otras entidades que lo atienden	Banco Principal	Billetera digital preferida	Que_valora de bco ppal	dummie prod Cuenta de Ahorros/MCAmiga 	dummie prd Credito de consumo 	dummie prod Tarjeta de credito Tibapuntos 	dummie prod CDT	dummie prod Otro	dummie 2 asp Que sea rapida en la atencion y en los tramites	dummie 2 asp Que tenga una amplia red de agencias, agentes y cajeros.	dummie 2 Otro	dummie 2 asp Que ofrezca productos adaptados a sus necesidades	dummie 2 asp Que ofrezca tasas y comisiones competitivas.	dummie 2 asp Que tenga buena reputacion en el mercado.	dummie 2 asp Que cuente con programas de puntos y beneficios.	dummie 2 asp Que brinde informacion amigable.	dummie_otras_entidades_atienden_Bancolombia	dummie_otras_entidades_atienden_Billeteras digitales (Nequi, Daviplata, Rappipay, etc.)	dummie_otras_entidades_atienden_Otro	dummie_otras_entidades_atienden_Davivienda	dummie_otras_entidades_atienden_Banco Caja Social	dummie_otras_entidades_atienden_Banco Popular	dummie_otras_entidades_atienden_Banco de Bogota	dummie_otras_entidades_atienden_Banco de Occidente	dummie_otras_entidades_atienden_Scotiabank Colpatria	dummie_otras_entidades_atienden_Banco Agrario de Colombia
55	base_Tibamoa_42482022081213_18_47_41	42791	24	MASCULINO	3	EMPLEADO_PRIVADO	SOLTERO/A	21 - 30	Arquetipos	44785,75954	10	Cuenta de Ahorros/MCAmiga |Tarjeta de credito Tibapuntos |	Diario	Realizar pagos y transacciones	No tengo creditos de consumo	No tengo tarjeta de credito Tibapuntos	Prefiero que me envien informacion constante relacionado a mis productos financieros	Me gustaria entender en mas detalle como funciona los productos financieros	Para desarrollar los proyectos que tengo planeados en los proximos dos annos, necesito adquirir productos financieros adicionales.	Que sea rapida en la atencion y en los tramites|Que ofrezca tasas y comisiones competitivas.|	Buena cobertura de agencias, agentes y cajeros. (Cobertura)	Web	Chat Whatsapp	Chat Whatsapp	Banca en linea	Web	Chat Whatsapp	Chat Whatsapp	10	10	10	10	10	10	10	10	Entre 2 y 4 comunicados al mes	Correo electronico	Telefono	Telefono	Adquirir otros productos con el Banco Tibamoa.	Mas de 7 annos	Bancolombia|Billeteras digitales (Nequi, Daviplata, Rappipay, etc.)|	Bancolombia		Respuesta oportuna ante requerimientos	1	0	1	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0
424	base_Tibamoa_42482022081213_18_47_410	44722	29	MASCULINO	3	EMPLEADO_PRIVADO	SOLTERO/A	21 - 30	Arquetipos	44785,75198	10	Cuenta de Ahorros/MCAmiga |Tarjeta de credito Tibapuntos |	Dos veces por semana	Aprovechar promociones y descuentos	No tengo creditos de consumo	Realizar compras cotidianas	Prefiero que me envien informacion constante relacionado a mis productos financieros	Conozco al detalle del funcionamiento de los productos financieros	Para desarrollar los proyectos que tengo planeados en los proximos dos annos, necesito adquirir productos financieros adicionales.	Que tenga una amplia red de agencias, agentes y cajeros.|Que sea rapida en la atencion y en los tramites|	Que le brinden orientacion y asesoramiento (Acompannamiento)	App	App	Banca en linea	App	Chat Whatsapp	Chat Whatsapp	App	10	10	10	10	10	10	10	10	Entre 2 y 4 comunicados al mes	App	App	Chat Whatsapp	Adquirir otros productos con el Banco Tibamoa.	Mas de 7 annos	Bancolombia|Billeteras digitales (Nequi, Daviplata, Rappipay, etc.)|Otro	Bancolombia		Facilidad para interactuar con los canales de atencion	1	0	1	0	0	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0
554	base_Tibamoa_42482022081213_18_47_540	41682	29	MASCULINO	3	INDEPENDIENTE	SOLTERO/A	21 - 30	Arquetipos	44785,90793	9	Cuenta de Ahorros/MCAmiga |	1 vez al mes	Aprovechar promociones y descuentos	No tengo creditos de consumo	No tengo tarjeta de credito Tibapuntos	Prefiero ser yo quien busque la informacion en el momento que la necesito	Conozco al detalle del funcionamiento de los productos financieros	Me encuentro satisfecho con los productos financieros que tengo actualmente y no tengo planeado obtener adicionales.	Que sea rapida en la atencion y en los tramites|Que brinde informacion amigable.|	Que le brinden orientacion y asesoramiento (Acompannamiento)	Web	App	Web	App	Chat Whatsapp	Oficinas	Oficinas	No uso este canal	10	No uso este canal	9	No uso este canal	10	9	No uso este canal	Mas de 4 comunicados al mes	Correo electronico	Correo electronico	Correo electronico	Recomendar a otras personas a adquirir la cuenta de ahorros del Banco Tibamoa.	Mas de 7 annos	Billeteras digitales (Nequi, Daviplata, Rappipay, etc.)|	Banco Tibamoa		Facilidad para interactuar con los canales de atencion	1	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
627	base_Tibamoa_42482022081213_18_47_613	42278	27	MASCULINO	3	EMPLEADO_PRIVADO	SOLTERO/A	21 - 30	Arquetipos	44785,98792	0	Cuenta de Ahorros/MCAmiga |Tarjeta de credito Tibapuntos |	Diario	Recibir la nomina	Realizar una compra puntual	Realizar compras cotidianas	Prefiero ser yo quien busque la informacion en el momento que la necesito	Conozco al detalle del funcionamiento de los productos financieros	Para desarrollar los proyectos que tengo planeados en los proximos dos annos, necesito adquirir productos financieros adicionales.	Otro	Otro	Web	Web	Web	Web	Web	Web	App	1	1	1	1	1	1	1	1	No deseo recibir ningun tipo de comunicacion				No hacer nada al respecto	Menos de 1 anno	Otro	Banco Tibamoa		Otro	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
1557	base_Tibamoa_42482022081213_18_47_1543	44682	28	MASCULINO	3	INDEPENDIENTE	SOLTERO/A	21 - 30	Arquetipos	44785,70296	10	Cuenta de Ahorros/MCAmiga |Credito de consumo |Tarjeta de credito Tibapuntos |	1 vez al mes	Realizar pagos y transacciones	Fortalecer mi negocio	Compras online	Prefiero ser yo quien busque la informacion en el momento que la necesito	Conozco al detalle del funcionamiento de los productos financieros	Para desarrollar los proyectos que tengo planeados en los proximos dos annos, necesito adquirir productos financieros adicionales.	Que tenga una amplia red de agencias, agentes y cajeros.|Que cuente con programas de puntos y beneficios.|	La agilidad en tramites y atencion (Agilidad)	App	Chat Whatsapp	Chat Whatsapp	App	Chat Whatsapp	Chat Whatsapp	Chat Whatsapp	10	10	10	10	No uso este canal	10	10	10	1 comunicado al mes	Chat Whatsapp	Chat Whatsapp	Chat Whatsapp	Adquirir otros productos con el Banco Tibamoa.	Mas de 7 annos	Billeteras digitales (Nequi, Daviplata, Rappipay, etc.)|	Banco Tibamoa		Las tasas y comisiones de los productos	1	1	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
2787	base_Tibamoa_42482022081213_18_47_2773	43149	31	MASCULINO	3	PRESTADOR_DE_SERVICIOS	SOLTERO/A	31 - 40	Arquetipos	44785,70137	9	Cuenta de Ahorros/MCAmiga |Tarjeta de credito Tibapuntos |	Diario	Realizar pagos y transacciones	Fortalecer mi negocio	Realizar pagos o compras inesperadas	Prefiero que me envien informacion constante relacionado a mis productos financieros	Conozco al detalle del funcionamiento de los productos financieros	Para desarrollar los proyectos que tengo planeados en los proximos dos annos, necesito adquirir productos financieros adicionales.	Que tenga una amplia red de agencias, agentes y cajeros.|Que cuente con programas de puntos y beneficios.|	Buena cobertura de agencias, agentes y cajeros. (Cobertura)	Web	Banca en linea	App	App	Chat Whatsapp	Chat Whatsapp	Chat Whatsapp	7	9	9	6	5	10	5	6	Entre 2 y 4 comunicados al mes	Telefono	Telefono	Telefono	Adquirir otros productos con el Banco Tibamoa.	Mas de 7 annos	Bancolombia|	Banco Tibamoa		Programa de puntos y alianzas	1	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
3188	base_Tibamoa_42482022081213_18_47_3174	44675	39	MASCULINO	3	INDEPENDIENTE	SOLTERO/A	31 - 40	Arquetipos	44785,86478	9	Cuenta de Ahorros/MCAmiga |Tarjeta de credito Tibapuntos |	Dos veces por semana	Aprovechar promociones y descuentos	No tengo creditos de consumo	Realizar compras cotidianas	Prefiero que me envien informacion constante relacionado a mis productos financieros	Conozco al detalle del funcionamiento de los productos financieros	Me encuentro satisfecho con los productos financieros que tengo actualmente y no tengo planeado obtener adicionales.	Que ofrezca productos adaptados a sus necesidades|Que cuente con programas de puntos y beneficios.|	La informacion oportuna sobre productos y beneficios (Informacion clara)	Banca en linea	App	Web	App	Chat Whatsapp	Chat Whatsapp	Chat Whatsapp	9	10	9	10	No uso este canal	No uso este canal	8	No uso este canal	Entre 2 y 4 comunicados al mes	Correo electronico	Correo electronico	Banca en linea	Recomendar a otras personas a adquirir la cuenta de ahorros del Banco Tibamoa.	De 1 a 2 annos	Bancolombia|Banco Agrario de Colombia|	Bancolombia		Variedad de productos financieros	1	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1
3285	base_Tibamoa_42482022081213_18_47_3271	42153	36	MASCULINO	3	EMPLEADO_PRIVADO	SOLTERO/A	31 - 40	Arquetipos	44785,70096	8	Cuenta de Ahorros/MCAmiga |	Dos veces por semana	Recibir la nomina	No tengo creditos de consumo	No tengo tarjeta de credito Tibapuntos	Prefiero que me envien informacion constante relacionado a mis productos financieros	Conozco al detalle del funcionamiento de los productos financieros	Para desarrollar los proyectos que tengo planeados en los proximos dos annos, necesito adquirir productos financieros adicionales.	Que tenga una amplia red de agencias, agentes y cajeros.|Que sea rapida en la atencion y en los tramites|	Estabilidad en las plataformas digitales (Estabilidad)	App	App	Web	App	Chat Whatsapp	Chat Whatsapp	Chat Whatsapp	9	8	No uso este canal	7	No uso este canal	10	6	9	No deseo recibir ningun tipo de comunicacion				Recomendar a otras personas a adquirir la cuenta de ahorros del Banco Tibamoa.	Mas de 7 annos	Bancolombia|Davivienda|Banco Caja Social|Billeteras digitales (Nequi, Daviplata, Rappipay, etc.)|	Banco Tibamoa		Las tasas y comisiones de los productos	1	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0
3442	base_Tibamoa_42482022081213_18_47_3428	43200	33	FEMENINO	1	EMPLEADO_PRIVADO	SOLTERO/A	31 - 40	Arquetipos	44785,70076	10	Credito de consumo |Tarjeta de credito Tibapuntos |Otro	No tengo cuenta de ahorrosMCAmiga	No tengo cuenta de ahorro	No tengo creditos de consumo	Realizar compras cotidianas	Prefiero que me envien informacion constante relacionado a mis productos financieros	Me gustaria entender en mas detalle como funciona los productos financieros	Me encuentro satisfecho con los productos financieros que tengo actualmente y no tengo planeado obtener adicionales.	Que tenga una amplia red de agencias, agentes y cajeros.|Que sea rapida en la atencion y en los tramites|	La agilidad en tramites y atencion (Agilidad)	Banca en linea	Banca en linea	Banca en linea	Banca en linea	Telefono	Telefono	Telefono (Call Center)	10	10	10	10	10	10	10	No uso este canal	1 comunicado al mes	Correo electronico	Banca en linea	Correo electronico	Recomendar a otras personas a adquirir la cuenta de ahorros del Banco Tibamoa.	Mas de 7 annos	Billeteras digitales (Nequi, Daviplata, Rappipay, etc.)|	Banco Tibamoa		Programa de puntos y alianzas	0	1	1	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
4537	base_Tibamoa_42482022081213_18_47_4523	44341	37	MASCULINO	3	EMPLEADO_PUBLICO	SOLTERO/A	31 - 40	Arquetipos	44785,91178	9	Cuenta de Ahorros/MCAmiga |Tarjeta de credito Tibapuntos |	1 vez al mes	Ahorrar con una meta especifica	No tengo creditos de consumo	Realizar compras cotidianas	Prefiero que me envien informacion constante relacionado a mis productos financieros	Me gustaria entender en mas detalle como funciona los productos financieros	Me encuentro satisfecho con los productos financieros que tengo actualmente y no tengo planeado obtener adicionales.	Que ofrezca tasas y comisiones competitivas.|Que cuente con programas de puntos y beneficios.|	La agilidad en tramites y atencion (Agilidad)	App	App	App	App	App	Telefono	Telefono (Call Center)	9	9	9	4	No uso este canal	No uso este canal	2	No uso este canal	Mas de 4 comunicados al mes	Correo electronico	Correo electronico	Correo electronico	Recomendar a otras personas a adquirir la cuenta de ahorros del Banco Tibamoa.	De 1 a 2 annos	Bancolombia|Banco Popular|	Bancolombia		Los canales digitales	1	0	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0
